Date,Timestamp,Price,Open,High,Low,Vol
14/12/2020,1607904000,585.32,590.66,591.41,576.01,1.86
13/12/2020,1607817600,591.09,568.07,594.83,563.37,2.03
12/12/2020,1607731200,567.78,544.16,573.59,543.9,1.62
11/12/2020,1607644800,544.17,558.15,560.28,536.43,30.17
10/12/2020,1607558400,558.13,573.28,575.56,548.99,19.6
09/12/2020,1607472000,573.21,554.95,577.94,530.88,9.1
08/12/2020,1607385600,555.05,591.03,594.78,551.08,8.11
07/12/2020,1607299200,591.09,601.54,603.06,584.53,7.72
06/12/2020,1607212800,601.68,596.61,606.9,583.67,13.14
05/12/2020,1607126400,596.68,567.84,596.73,561.24,30.83
04/12/2020,1607040000,567.91,616.33,619.61,566.34,48.95
03/12/2020,1606953600,616.32,597.94,622.1,587.15,24
02/12/2020,1606867200,598.05,585.69,604.34,575.24,16.21
01/12/2020,1606780800,585.66,616.78,635.66,567.79,49.42
30/11/2020,1606694400,615.92,575.35,615.97,571.04,51.72
29/11/2020,1606608000,575.45,537.89,576.52,530.71,5.79
28/11/2020,1606521600,537.74,518.7,547.94,506.97,5.34
27/11/2020,1606435200,518.11,519.69,530.41,494.65,6.42
26/11/2020,1606348800,519.32,569.69,577.08,484.03,13.11
25/11/2020,1606262400,569.67,605.01,605.63,555.32,14.5
24/11/2020,1606176000,605.03,609.2,621.7,589.56,41.11
23/11/2020,1606089600,609.22,559.37,610.33,551.8,49.68
22/11/2020,1606003200,559.4,551.9,580,514.44,36.76
21/11/2020,1605916800,551.91,509.94,552.13,505.14,26.86
20/11/2020,1605830400,509.98,471.27,513.06,471.06,30.85
19/11/2020,1605744000,471.21,478.55,480.55,465.41,12.53
18/11/2020,1605657600,478.52,482.05,495.04,459.92,18.19
17/11/2020,1605571200,481.95,460.37,484.59,459.74,7.93
16/11/2020,1605484800,460.43,448.18,465.97,445.82,5.62
15/11/2020,1605398400,448.23,460.75,462.93,440.44,9.34
14/11/2020,1605312000,460.7,476.38,477.34,452.6,9.17
13/11/2020,1605225600,476.29,462.61,477.78,457.65,9.85
12/11/2020,1605139200,462.56,463.33,469.57,452.44,9.33
11/11/2020,1605052800,463.33,450.26,476.08,449.51,15.13
10/11/2020,1604966400,450.22,444.38,454.43,439.5,20.76
09/11/2020,1604880000,444.33,454.55,458.51,434.95,28.85
08/11/2020,1604793600,454.68,435.39,460.09,432.44,4.82
07/11/2020,1604707200,435.4,455.78,467.88,425.57,7.78
06/11/2020,1604620800,455.72,416.59,457.79,415.08,6.53
05/11/2020,1604534400,416.63,402.5,419.94,396.46,7.04
04/11/2020,1604448000,402.19,388.23,407.9,377.22,6.17
03/11/2020,1604361600,387.92,383.64,389.98,370.96,6.73
02/11/2020,1604275200,383.53,396.45,404.04,379.13,9.43
01/11/2020,1604188800,396.29,386.36,397.32,384.94,5.52
31/10/2020,1604102400,386.42,382.81,394.01,380.53,6.42
30/10/2020,1604016000,382.41,387.16,391.98,374.36,2.81
29/10/2020,1603929600,386.76,388.25,393.33,381.53,3.04
28/10/2020,1603843200,388.14,403.11,408.1,381.51,9.96
27/10/2020,1603756800,403.15,393.93,409.85,390.92,6.29
26/10/2020,1603670400,394.11,406.45,410.41,383.21,9.06
25/10/2020,1603584000,406.09,412.44,417.07,403.95,3.05
24/10/2020,1603497600,411.92,408.59,416.28,407.74,2.68
23/10/2020,1603411200,408.52,414.12,419.11,402.91,8.18
22/10/2020,1603324800,414.05,391.39,420.12,391.21,12.65
21/10/2020,1603238400,391.2,368.53,400.36,368.06,13.61
20/10/2020,1603152000,368.35,379.03,380.14,367.16,7.46
19/10/2020,1603065600,379.19,377.85,383.97,372.72,6.85
18/10/2020,1602979200,377.81,368.61,378.49,367.54,4.68
