('ApplicationId: ', u'application_1604349877093_8700')
Date, Avg, Count
07/2016, 9.61523967584e+19, 1351177
07/2017, 6.49431271877e+19, 7839822
07/2018, 2.27489986807e+18, 19934164
10/2015, 7.41128922943e+19, 205213
10/2016, 3.24350196015e+19, 1330960
10/2017, 2.67311070879e+19, 12579172
10/2018, 3.07171022325e+18, 17070582
08/2018, 2.39982208392e+18, 19843574
08/2015, 4.83027849846e+20, 85112
08/2017, 4.82769605698e+19, 10517032
08/2016, 5.88433703728e+19, 1411435
02/2017, 5.55800901626e+19, 1410048
02/2016, 6.55476087599e+19, 520040
01/2016, 6.10660704772e+19, 404816
01/2017, 5.62028595654e+19, 1409664
02/2019, 3.98084526451e+18, 13413899
02/2018, 6.23036279509e+18, 22231978
01/2018, 1.11645727207e+19, 33504270
01/2019, 4.4548138889e+18, 16569597
06/2017, 5.67908620812e+19, 7240723
06/2016, 3.05045289884e+19, 1351631
06/2019, 3.03565822278e+18, 25646697
06/2018, 2.80930347847e+18, 22477336
09/2018, 3.72915668084e+18, 16065654
09/2016, 3.26453445598e+19, 1387395
09/2017, 3.44206327045e+19, 10677965
09/2015, 7.04727635682e+19, 174134
11/2017, 2.96411032747e+19, 15292269
11/2016, 3.96443164384e+19, 1301586
11/2015, 5.94847438625e+19, 234733
12/2016, 6.14665867754e+19, 1316131
12/2017, 1.37370465801e+19, 26687692
12/2015, 2.67640961839e+19, 347092
11/2018, 5.3979090489e+18, 16713911
12/2018, 5.94489416348e+18, 17107601
05/2018, 2.4969999424e+18, 25107353
05/2019, 4.0041423422e+18, 24325151
05/2016, 4.71048201518e+19, 1347042
05/2017, 1.25301355201e+20, 4240928
03/2016, 4.58794059356e+19, 916363
03/2017, 1.77001961463e+20, 2422460
03/2018, 2.7292981691e+18, 20241701
03/2019, 3.82001025199e+18, 18012971
04/2017, 1.11028667764e+20, 2540358
04/2016, 2.25829345995e+19, 1022504
04/2019, 4.13466129953e+18, 19821024
04/2018, 2.44933801896e+18, 20868405
