Date,avg_gas,avg_gas_price
07/08/2015,43991.91202,603679249567
08/08/2015,254375.83950,273946156116
09/08/2015,78459.96538,562585424606
10/08/2015,81524.65938,424066495322
11/08/2015,70678.13814,76768024633
12/08/2015,158109.12740,433106643980
13/08/2015,90436.47004,269146023448
14/08/2015,66707.21587,194718715652
15/08/2015,57796.86529,145566381114
16/08/2015,63841.71668,119906541648
17/08/2015,61321.08330,123350304205
18/08/2015,75473.20943,159410645610
19/08/2015,50245.77575,191129800593
20/08/2015,66238.97985,98971402451
21/08/2015,52245.01301,81177985374
22/08/2015,75461.12229,543859258624
23/08/2015,61287.81169,73244642314
24/08/2015,46191.20511,91507680732
25/08/2015,65194.97969,77486784681
26/08/2015,64931.48921,60252888346
27/08/2015,60382.65889,60146214023
28/08/2015,74437.16029,89738381938
29/08/2015,66505.51682,56634176997
30/08/2015,62085.48393,55179031040
31/08/2015,64662.44007,58644486582
01/09/2015,62022.42092,56574588739
02/09/2015,96551.65829,59102329577
03/09/2015,74340.10510,55425834104
04/09/2015,74293.21613,58814528262
05/09/2015,81354.05263,52963535677
06/09/2015,60769.20583,56873921884
07/09/2015,100826.75830,53688845860
08/09/2015,76044.44643,64473183090
09/09/2015,89414.87029,53822288839
10/09/2015,85099.06865,54587672211
11/09/2015,83708.44002,55740204941
12/09/2015,102709.52480,61751507620
13/09/2015,101061.88940,52306869594
14/09/2015,92909.19766,53760355269
15/09/2015,87812.03296,53249861701
16/09/2015,221335.41790,64074190741
17/09/2015,242756.95090,103794380912
18/09/2015,157970.07660,59021988430
19/09/2015,127113.71470,51857150107
20/09/2015,103918.07770,51350263906
21/09/2015,106800.93320,52779775446
22/09/2015,93912.09294,51475634740
23/09/2015,83040.49993,51723107306
24/09/2015,80956.02161,54240549606
25/09/2015,115340.29540,52302090268
26/09/2015,77583.89658,55354307855
27/09/2015,73161.26790,51028763643
28/09/2015,86135.53164,52674107974
29/09/2015,79926.21925,55411677362
30/09/2015,87558.94710,51494133778
01/10/2015,76917.16481,51449434347
02/10/2015,107709.25350,52400141102
03/10/2015,111686.94550,52692708762
04/10/2015,108073.35880,50738621283
05/10/2015,122757.77860,50742345536
06/10/2015,118618.08640,51372518745
07/10/2015,145789.18210,51033825311
08/10/2015,132431.67260,57020286348
09/10/2015,96654.46171,62053467795
10/10/2015,90343.69231,64841021850
11/10/2015,77892.66915,56327792897
12/10/2015,95651.33186,51009107037
13/10/2015,108466.84410,53510570355
14/10/2015,119257.53560,58086268831
15/10/2015,149025.86490,53238459791
16/10/2015,185299.32610,54716969768
17/10/2015,111123.75550,53777407793
18/10/2015,134865.41740,52015202120
19/10/2015,118321.33680,52452676951
20/10/2015,113813.88290,53395549107
21/10/2015,122414.55080,53942652710
22/10/2015,228014.88980,57255300474
23/10/2015,179813.75680,51244917479
24/10/2015,185649.88250,50743209096
25/10/2015,109122.88300,51577176224
26/10/2015,113125.28830,54585998170
27/10/2015,154257.33560,53525777571
28/10/2015,116645.14120,54787998286
29/10/2015,122381.48970,52364630378
30/10/2015,100319.56500,54017718700
31/10/2015,117327.82320,53753181787
01/11/2015,121539.95310,50751088484
02/11/2015,94831.90729,53162663704
03/11/2015,98042.66090,51578536572
04/11/2015,86266.65340,52243136362
05/11/2015,87917.39611,52990311400
06/11/2015,336370.23340,52184810513
07/11/2015,389291.51680,51944373854
08/11/2015,741865.85880,52414324288
09/11/2015,131838.52610,51918274052
10/11/2015,329854.83840,52237284910
11/11/2015,503144.06660,52560853806
12/11/2015,528050.98070,59050838844
13/11/2015,343655.56320,51534479321
14/11/2015,124566.32740,51216461485
15/11/2015,95675.59024,51537798825
16/11/2015,84210.26485,56768038418
17/11/2015,88798.51141,56303859554
18/11/2015,83557.14485,53515892028
19/11/2015,135758.37820,54119551224
20/11/2015,119260.49240,54384895828
21/11/2015,108388.75750,54039631830
22/11/2015,110846.16730,53793371733
23/11/2015,111269.35630,55629754775
24/11/2015,104753.28220,58042755370
25/11/2015,102262.04650,54235748106
26/11/2015,86269.25227,53986356287
27/11/2015,95031.81744,53456555142
28/11/2015,99741.88558,54312682973
29/11/2015,89233.31490,53321187419
30/11/2015,122979.05910,55199244474
01/12/2015,120399.85500,54837947431
02/12/2015,134075.32620,53588845124
03/12/2015,111797.19450,53564860105
04/12/2015,145795.59470,53920215595
05/12/2015,121211.32520,54430269329
06/12/2015,97471.08635,53904812363
07/12/2015,100973.32110,53988885934
08/12/2015,92057.26489,53743612456
09/12/2015,115202.41720,54733915734
10/12/2015,190826.16420,54938250098
11/12/2015,426080.28610,58195798149
12/12/2015,709792.55410,59486449382
13/12/2015,249384.49810,56701649126
14/12/2015,890603.04410,53372600387
15/12/2015,163444.57080,62650330558
16/12/2015,144544.45680,54026271431
17/12/2015,145506.77240,55081281267
18/12/2015,223987.45480,55034649240
19/12/2015,126996.12210,53891713881
20/12/2015,153016.30000,53342677327
21/12/2015,143705.66600,53466176225
22/12/2015,217244.66040,53627121090
23/12/2015,149884.26140,55663754533
24/12/2015,151770.87340,52792315740
25/12/2015,132657.94860,53550792729
26/12/2015,147835.03580,53675955367
27/12/2015,147600.74620,66846252680
28/12/2015,162455.02440,53108130511
29/12/2015,147594.25950,53729001893
30/12/2015,133762.68960,56716784472
31/12/2015,117169.79340,57661175081
01/01/2016,98612.44941,54747565393
02/01/2016,125529.57400,53323453178
03/01/2016,118816.73310,53342341402
