Date,Avg,Count
18/04/2018,2494063018320000000,704916
02/09/2016,32233205637200000000,55195
25/12/2018,4517373053080000000,535001
18/04/2019,3738601275650000000,697094
26/03/2018,3151385037500000000,621837
02/09/2017,42120702056500000000,329583
02/09/2018,1478806400970000000,623633
26/03/2019,4059212476910000000,629010
05/03/2017,160612576601000000000,57031
05/03/2016,105616447145000000000,27115
15/07/2018,1746407067470000000,454357
23/11/2016,37920580678600000000,64289
23/11/2017,30070332853100000000,537068
09/01/2017,95566058676200000000,46188
23/12/2018,5454493645310000000,543655
23/12/2017,10359807018400000000,918881
26/03/2016,9100177633140000000,36646
31/05/2016,26627549162500000000,44782
09/01/2016,17874516423300000000,11793
23/11/2015,82880381854900000000,8260
23/12/2016,140887940335000000000,44391
26/03/2017,118176537704000000000,77092
31/05/2017,108610698624000000000,215305
20/03/2018,2890543416240000000,661791
23/12/2015,6307712401840000000,22740
20/03/2019,4592320035260000000,630313
20/03/2016,17126919295600000000,32447
20/03/2017,82184441242900000000,80264
22/06/2019,3732993699400000000,760697
19/05/2016,59540478481100000000,44261
22/06/2018,3108559740510000000,770145
09/01/2019,3928012485690000000,558847
19/05/2017,91584292353900000000,159395
31/05/2018,2710948853010000000,834087
09/01/2018,12837605896300000000,1256240
31/05/2019,4155531140950000000,860268
15/07/2016,93351701152900000000,40915
15/07/2017,106366142169000000000,234887
30/12/2017,14366777445100000000,1136659
30/12/2016,73665901632200000000,44561
30/12/2015,9885945343800000000,21767
01/03/2017,197315406072000000000,59774
22/06/2017,28620769740500000000,279804
01/03/2016,59862378866400000000,21778
19/05/2018,1448143225870000000,855778
22/06/2016,42713568661400000000,48618
19/05/2019,3117390689450000000,752741
24/12/2015,9306468815830000000,13494
30/12/2018,3530085195070000000,460395
24/12/2016,62328137725900000000,37757
16/09/2017,26783417075400000000,378755
24/12/2017,9803471398330000000,758234
16/09/2016,40507262502800000000,57077
17/07/2016,24559979566100000000,31904
16/09/2015,94505506370900000000,5863
25/07/2018,1910421199350000000,794008
25/07/2017,94906376444900000000,242225
17/07/2017,92825147967800000000,244285
25/07/2016,179940037366000000000,56908
01/03/2019,3392419974430000000,547622
01/03/2018,2491186346650000000,684404
24/12/2018,6381100432380000000,615551
12/02/2016,116105845019000000000,18109
08/02/2019,4563018677710000000,471952
12/02/2017,26727562426000000000,45319
08/02/2018,5359548660390000000,681344
17/07/2018,2514806436370000000,703287
24/03/2018,1956028270690000000,613203
24/03/2019,3251556631010000000,549073
16/09/2018,2639098290550000000,459001
17/05/2016,31389786913400000000,41251
09/05/2019,3935515213720000000,718843
17/05/2017,107483814778000000000,138990
01/09/2017,39982162991800000000,388041
09/05/2018,2711958007020000000,833778
09/05/2017,169186563186000000000,112373
01/09/2016,41081004875200000000,47615
09/05/2016,50470298936700000000,39610
01/09/2015,258457535025000000000,5564
08/02/2017,23384960041100000000,51089
08/02/2016,100097286181000000000,14719
24/03/2016,25826670943200000000,36947
03/03/2017,256279223255000000000,64294
24/03/2017,181728451869000000000,87775
01/07/2017,37756282974700000000,240401
01/09/2018,1801664601500000000,650832
06/02/2019,4100423001810000000,429065
03/03/2016,84492538681200000000,24837
12/02/2018,5620315399040000000,829020
