Date,Timestamp,Open,High,Low,Volume,Price,prediction
14/12/2020,1607904000,590.66,591.41,576.01,1.86,585.32,575.9618432528376
13/12/2020,1607817600,568.07,594.83,563.37,2.03,591.09,582.7522700157854
12/12/2020,1607731200,544.16,573.59,543.9,1.62,567.78,563.9391046688197
11/12/2020,1607644800,558.15,560.28,536.43,30.17,544.17,542.06129023455
10/12/2020,1607558400,573.28,575.56,548.99,19.6,558.13,555.3928005640703
09/12/2020,1607472000,554.95,577.94,530.88,9.1,573.21,555.8017245833647
08/12/2020,1607385600,591.03,594.78,551.08,8.11,555.05,565.2078404862873
07/12/2020,1607299200,601.54,603.06,584.53,7.72,591.09,586.3457142173595
06/12/2020,1607212800,596.61,606.9,583.67,13.14,601.68,591.8849551627919
05/12/2020,1607126400,567.84,596.73,561.24,30.83,596.68,584.4237315506288
04/12/2020,1607040000,616.33,619.61,566.34,48.95,567.91,585.7081103793982
03/12/2020,1606953600,597.94,622.1,587.15,24.0,616.32,607.3881352213615
02/12/2020,1606867200,585.69,604.34,575.24,16.21,598.05,590.1574018371664
01/12/2020,1606780800,616.78,635.66,567.79,49.42,585.66,600.9068012992134
30/11/2020,1606694400,575.35,615.97,571.04,51.72,615.92,604.5393977430475
29/11/2020,1606608000,537.89,576.52,530.71,5.79,575.45,562.3982989964114
28/11/2020,1606521600,518.7,547.94,506.97,5.34,537.74,532.3011764937959
27/11/2020,1606435200,519.69,530.41,494.65,6.42,518.11,509.08759185295645
26/11/2020,1606348800,569.69,577.08,484.03,13.11,519.32,522.1294390830926
25/11/2020,1606262400,605.01,605.63,555.32,14.5,569.67,571.0404500241082
24/11/2020,1606176000,609.2,621.7,589.56,41.11,605.03,603.6401181836305
23/11/2020,1606089600,559.37,610.33,551.8,49.68,609.22,596.2221243788616
22/11/2020,1606003200,551.9,580.0,514.44,36.76,559.4,550.9658182029782
21/11/2020,1605916800,509.94,552.13,505.14,26.86,551.91,540.0066255953377
20/11/2020,1605830400,471.27,513.06,471.06,30.85,509.98,504.0134655291584
19/11/2020,1605744000,478.55,480.55,465.41,12.53,471.21,467.23505614095404
18/11/2020,1605657600,482.05,495.04,459.92,18.19,478.52,475.8898952416517
17/11/2020,1605571200,460.37,484.59,459.74,7.93,481.95,476.20970498935867
16/11/2020,1605484800,448.18,465.97,445.82,5.62,460.43,457.24328574465954
15/11/2020,1605398400,460.75,462.93,440.44,9.34,448.23,445.66219178881875
14/11/2020,1605312000,476.38,477.34,452.6,9.17,460.7,458.1087551189904
13/11/2020,1605225600,462.61,477.78,457.65,9.85,476.29,467.869175571323
12/11/2020,1605139200,463.33,469.57,452.44,9.33,462.56,457.15196857254455
11/11/2020,1605052800,450.26,476.08,449.51,15.13,463.33,467.8373625562274
10/11/2020,1604966400,444.38,454.43,439.5,20.76,450.22,445.5805640082352
09/11/2020,1604880000,454.55,458.51,434.95,28.85,444.33,442.2223546102315
08/11/2020,1604793600,435.39,460.09,432.44,4.82,454.68,450.500432156494
07/11/2020,1604707200,455.78,467.88,425.57,7.78,435.4,444.19920372870246
06/11/2020,1604620800,416.59,457.79,415.08,6.53,455.72,447.7262574197516
05/11/2020,1604534400,402.5,419.94,396.46,7.04,416.63,409.6697723540891
04/11/2020,1604448000,388.23,407.9,377.22,6.17,402.19,394.75986601789293
03/11/2020,1604361600,383.64,389.98,370.96,6.73,387.92,377.1893002356455
02/11/2020,1604275200,396.45,404.04,379.13,9.43,383.53,388.5355931477943
01/11/2020,1604188800,386.36,397.32,384.94,5.52,396.29,390.3069154158347
31/10/2020,1604102400,382.81,394.01,380.53,6.42,386.42,386.5611654469078
30/10/2020,1604016000,387.16,391.98,374.36,2.81,382.41,379.097011380305
29/10/2020,1603929600,388.25,393.33,381.53,3.04,386.76,383.804928143269
28/10/2020,1603843200,403.11,408.1,381.51,9.96,388.14,390.41714968946906
27/10/2020,1603756800,393.93,409.85,390.92,6.29,403.15,401.4651955504937
26/10/2020,1603670400,406.45,410.41,383.21,9.06,394.11,391.8497977072504
25/10/2020,1603584000,412.44,417.07,403.95,3.05,406.09,406.3903091005406
