Date, Phishing, Fake ICO, Scamming 
Jul/18,5232383998000000000,0,112967241752804945964
Mar/19,900000000000000000,0,2100000000000000000
May/18,10323881334287153232,0,16682719863773376462
Nov/18,3800000000000000,0,550936682000000000
Oct/17,948004118485664500,0,4061000000000000000
Apr/19,900000000000000000,0,194344800000000000
Dec/18,900000000000000000,0,7159204330000000000
Feb/19,24900000000000000000,0,1507308480000000000
Jan/19,4400000000000000000,0,2000000000000000000
Jul/17,500000000000000000,1402199484949186112,3000000000000000000
Jun/19,990000000000000000,0,2687393350000000000
Mar/18,5093000000000000000,0,24003196873722400000
May/17,90000000000000000,0,0
Nov/17,10210318404463478952,0,50866514148691496
Sep/18,752459955500000000,0,1109137695020434370464
Apr/18,3116638880000000000,0,8440892510000000000
Aug/18,3487648982363240001,0,8423366890436897793
Dec/17,50710989928000000000,0,107690302928525225
Feb/18,1005000000000000000,0,4554557730000000000
Jan/18,3560978491069385860,0,227280000000000000
Jun/18,11400470880000000000,500000000000000000,23891678352840549100
Sep/17,10831457492534371489,927587878293191421833,10
Aug/17,418724267500000000000,158001717279136166221,0
Jun/17,1000000000000000000,162391285203763268000,995000000000000000
May/19,2400000000000000000,0,9192112200000000000
Oct/18,17162890000000000,0,100000000000000000
